Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
12/01/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1934,1494,2504,,,,,,,1893,1669,2148,2072,1669,2573,,,
12/02/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",2576,1746,3801,2415,1680,3471,2601,2208,3065,3274,2126,5040,,,,,,
12/03/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",2459,1639,3689,,,,,,,2543,1781,3631,,,,,,
12/04/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",2400,1573,3660,2542,1591,4060,,,,2635,1773,3916,2105,1550,2857,1653,1356,2015
12/05/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",2457,1588,3800,2956,1686,5184,,,,2284,1651,3160,2259,1824,2797,,,
12/06/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",2194,1504,3202,2638,1816,3832,,,,2209,1604,3040,1592,1251,2026,,,
12/07/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1813,1287,2554,,,,,,,2042,1532,2722,1753,1190,2580,1460,1110,1921
12/08/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1839,1297,2607,1786,1257,2537,1595,1007,2526,1924,1403,2638,1783,1483,2142,1950,1385,2745
12/09/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",2366,1690,3313,2231,1833,2715,,,,,,,,,,,,
12/10/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",2170,1537,3062,,,,,,,2694,1935,3750,,,,,,
12/11/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",2102,1366,3233,1927,1311,2832,,,,1880,1568,2253,1810,1260,2601,,,
12/12/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1700,1271,2275,,,,,,,1820,1344,2464,1625,1217,2171,,,
12/13/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",2174,1465,3227,,,,,,,2016,1480,2744,2242,1337,3758,,,
12/14/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1931,1495,2495,,,,,,,2246,1804,2796,1660,1265,2178,,,
12/15/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1891,1330,2688,,,,,,,1677,1343,2094,1761,1265,2450,2497,1468,4246
12/16/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1947,1070,3541,2301,1485,3564,,,,1546,744,3212,,,,,,
12/17/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",2040,1465,2842,1806,1414,2306,,,,,,,1799,1393,2323,,,
12/18/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",2022,1296,3153,,,,,,,2563,1865,3524,1431,876,2337,,,
12/19/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1890,1383,2583,1799,1367,2366,2207,1476,3301,2052,1416,2972,1610,1448,1790,,,
12/20/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1978,1136,3442,1924,1325,2793,,,,2211,761,6419,1977,1487,2628,1838,1327,2544
12/21/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",2001,1480,2706,,,,1933,1718,2175,2566,1849,3562,1789,1331,2406,,,
12/22/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1906,1407,2583,,,,1932,1618,2307,2004,1645,2443,,,,2057,1411,2998
12/23/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",2024,1412,2900,,,,,,,2097,1540,2855,1743,1390,2187,1565,1133,2161
12/24/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1865,1379,2522,,,,,,,2051,1575,2672,2187,1680,2848,,,
12/25/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1584,1142,2197,,,,,,,1645,1326,2040,1543,1122,2121,1462,1007,2124
12/26/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1689,1212,2355,,,,,,,,,,,,,1777,1406,2247
12/27/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1468,1156,1866,,,,,,,,,,1406,1168,1693,1434,1085,1896
12/28/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1890,1188,3005,,,,,,,,,,,,,1939,1188,3167
12/29/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1970,1491,2602,,,,,,,1893,1391,2577,,,,,,
12/30/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1648,1229,2211,,,,,,,1534,1264,1862,,,,,,
12/31/2019,376,"Kawangware, Nairobi",258,"Westlands, Nairobi",1856,1443,2387,,,,,,,,,,1781,1492,2127,,,
12/01/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",279,131,597,236,107,521,295,150,579,305,135,689,277,133,575,254,123,522
12/02/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",635,259,1555,692,336,1424,990,397,2467,626,276,1415,539,200,1452,272,136,545
12/03/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",695,282,1709,623,300,1296,1146,475,2764,724,323,1622,524,202,1361,283,135,592
12/04/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",725,296,1773,522,255,1069,1162,448,3009,746,345,1614,752,270,2094,259,127,530
12/05/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",688,264,1794,642,304,1355,983,414,2331,793,316,1990,471,174,1273,263,138,499
12/06/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",669,266,1679,597,277,1289,937,381,2303,831,363,1898,478,194,1176,267,135,530
12/07/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",359,163,791,292,148,576,347,164,731,495,235,1042,292,136,623,243,119,497
12/08/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",278,133,579,245,118,509,228,126,412,286,133,612,283,142,565,312,139,696
12/09/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",707,274,1821,666,311,1423,929,366,2352,864,368,2024,442,169,1153,292,134,636
12/10/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",747,297,1876,715,375,1366,981,388,2480,890,393,2015,439,168,1146,237,125,448
12/11/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",738,287,1896,590,256,1362,936,364,2402,846,353,2028,675,249,1825,321,149,694
12/12/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",258,126,527,220,108,447,252,130,487,302,147,622,237,119,472,235,114,481
12/13/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",566,230,1393,480,241,958,690,271,1760,766,337,1741,341,157,743,265,127,551
12/14/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",343,159,738,262,128,536,273,134,555,475,231,977,323,155,676,232,119,451
12/15/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",249,123,506,221,117,419,235,116,477,256,128,509,269,129,563,243,118,498
12/16/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",549,230,1310,512,247,1061,739,280,1945,607,264,1392,450,184,1100,284,137,587
12/17/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",574,226,1459,421,195,905,748,265,2111,712,293,1729,396,163,956,259,131,512
12/18/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",609,243,1527,454,231,892,812,305,2160,765,319,1837,421,169,1047,297,142,622
12/19/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",618,241,1584,475,233,966,780,292,2082,789,329,1895,458,181,1158,263,119,580
12/20/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",505,197,1292,543,264,1118,608,205,1804,617,228,1668,372,166,834,303,139,660
12/21/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",405,173,950,308,140,675,469,198,1110,558,242,1287,321,152,678,277,129,595
12/22/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",257,126,524,282,133,596,248,113,545,259,129,518,246,125,482,260,128,525
12/23/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",559,215,1452,340,166,696,797,297,2134,774,329,1820,345,142,839,283,139,576
12/24/2019,258,"Westlands, Nairobi",192,"Afya Centre, Nairobi",400,176,909,322,154,673,408,171,976,513,243,1082,285,128,636,284,140,579
